title,description,project_id,start_date,duration,keywords,amount_sought,amount_collected,percent_collected,category,category_url,clickthrough_url,image_url,is_indemand,product_stage,source_url
MATE X: Most affordable fully-loaded folding eBike,"The coolest, most powerful, high spec'd eBike at the lowest price on the market. Save up to 63%",2372181,2018-07-16 22:12:28,60,e-bikes bikes design scooters love,5000000,7912303,158.24606,Transportation,/explore/transportation,/projects/mate-x-most-affordable-fully-loaded-folding-ebike,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fmqp7eyydwpufukkcpi0.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
"The Everyday Backpack, Tote, and Sling","The world's best everyday bags. Designed by photographers, built for everyone.",1874873,2016-09-07 23:59:59,30,bags backpacks,55077095.1578959,7232484,13.131564,Travel & Outdoors,/explore/travel-outdoors,/projects/the-everyday-backpack-tote-and-sling--8,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mur0yftmcmveyikl2g6w.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
MATE. The coolest eBike EVER,"Experience the ultimate in cycling versatility. 
Order now and have MATE delivered in June  (US/EU)",1786666,2016-08-16 4:05:26,54,bikes e-bikes toys,16088358.4665094,6805989,42.3038125,Transportation,/explore/transportation,/projects/mate-the-coolest-ebike-ever,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gxeiwgndeq8yp6tft5ll.jpg",false,shipping,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
ZeTime: hybrid smartwatch with hands over screen,"Proudly designed in Switzerland, the perfect smartwatch blending classic design and smart features",2079720,2017-04-26 23:59:59,30,smart watches watches,6146135.80732057,6556442,106.67584,Fashion & Wearables,/explore/fashion-wearables,/projects/zetime-hybrid-smartwatch-with-hands-over-screen,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fa0it2zf7t8uro8irbwn.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
SONDORS Electric Bike,"Now SONDORS has six premium electric bike models - Join us, and love the ride - www.sondors.com",1049016,2015-02-01 9:00:49,60,other,8923311.58740428,6051571,67.817546666667,Transportation,/explore/transportation,/projects/sondors-electric-bike,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pkilup4zfatdkq5zevxn.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Taga 2.0: The Ultimate Most Affordable Family Bike,Everything you can imagine in a family bike. And then some.,1828978,2016-07-16 23:59:59,30,bikes babies,19147791.8200909,4918275,25.68586,Transportation,/explore/transportation,/projects/taga-2-0-the-ultimate-most-affordable-family-bike,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kcciufs2dip9ggghddgo.jpg",false,shipping,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Amabrush - World's First Automatic Toothbrush,"Amabrush is the world's first, fully automatic toothbrush.",2176435,2017-08-03 23:59:59,30,other,7275617.92486311,4653606,63.96166,Health & Fitness,/explore/health-fitness,/projects/amabrush-world-s-first-automatic-toothbrush,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/sjbao6ed6lkjh75hkbdc.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
G-RO: Revolutionary Carry-on Luggage,"The world's best carry-on luggage - its patented ""all-terrain"" wheels change EVERYTHING!",1568639,2015-12-11 23:59:59,30,bags,17283414.7022785,4573569,26.462184,Travel & Outdoors,/explore/travel-outdoors,/projects/g-ro-revolutionary-carry-on-luggage--9,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/chocujldge2vcnnc6p2e.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Meet the Pilot: Smart Earpiece Language Translator,A world without language barriers: The Pilot is an earpiece which translates between languages.,1751080,2016-05-25 3:58:54,30,wireless headphones,13917967.4545535,4426205,31.802093333333,Travel & Outdoors,/explore/travel-outdoors,/projects/meet-the-pilot-smart-earpiece-language-translator,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/b49nea7esyeizklpfgyd.jpg",false,concept,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Omnicharge: Power Anything Anywhere,"Perfect for any device, laptops, cameras, small home appliances, you name it.",1790345,2016-07-06 9:18:47,60,chargers smart phones,8614847.87277358,3668838,42.58738,Phones & Accessories,/explore/phones-accessories,/projects/omnicharge-power-anything-anywhere,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/fdkorj5ctdfkhyoqq4q0.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
GPD Pocket: 7.0' UMPC-Laptop 'Ubuntu or WIN 10 OS',GamePad Digital introduces our 7-inch PC that fits in your pocket! 8GB RAM and 128GB ROM,2031062,2017-02-14 17:28:08,60,laptops,23534531.5511789,3567642,15.15918,Phones & Accessories,/explore/phones-accessories,/projects/gpd-pocket-7-0-umpc-laptop-ubuntu-or-win-10-os,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/pacudpslxhtca4oacttf.jpg",false,prototype,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
Axent Wear Cat Ear Headphones,The latest fusion of fashion and functionality with external cat ear speakers and LED lights.,972019,2014-10-08 13:28:50,45,other,29256264.374112,3429046,11.720724,Audio,/explore/audio,/projects/axent-wear-cat-ear-headphones,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/oubjtzekgzq70o0yhw2z.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
The NOMATIC Travel Bag,The Most Functional Travel Bag Ever!,1851486,2016-08-30 23:59:59,30,backpacks luggage,3804377.81394465,3281915,86.2668,Travel & Outdoors,/explore/travel-outdoors,/projects/the-nomatic-travel-bag,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/xdk4csd5cutskyah1bh9.jpg",false,production,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
SpeedX Leopard - first ever smart aero road bike,The only smart aero road bike with the ability to help you train and track your progress in realtime,1697257,2016-04-20 23:59:59,30,bikes bikes,6821254.67050825,3164893,46.39752,Transportation,/explore/transportation,/projects/speedx-leopard-first-ever-smart-aero-road-bike,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/iwgc5au0zmuh0s8ivy62.jpg",false,null,https://www.indiegogo.com/explore/all?project_type=all&project_timing=all&sort=trending
